Category: All categories

Month,chocolate: (United States)
2004-01,36
2004-02,46
2004-03,28
2004-04,31
2004-05,31
2004-06,27
2004-07,30
2004-08,27
2004-09,29
2004-10,33
2004-11,44
2004-12,68
2005-01,41
2005-02,47
2005-03,37
2005-04,32
2005-05,37
2005-06,35
2005-07,56
2005-08,37
2005-09,33
2005-10,36
2005-11,48
2005-12,63
2006-01,41
2006-02,47
2006-03,34
2006-04,34
2006-05,33
2006-06,30
2006-07,28
2006-08,46
2006-09,40
2006-10,42
2006-11,50
2006-12,69
2007-01,45
2007-02,52
2007-03,38
2007-04,38
2007-05,35
2007-06,33
2007-07,37
2007-08,41
2007-09,38
2007-10,38
2007-11,47
2007-12,69
2008-01,42
2008-02,49
2008-03,41
2008-04,39
2008-05,38
2008-06,35
2008-07,34
2008-08,35
2008-09,35
2008-10,41
2008-11,47
2008-12,65
2009-01,42
2009-02,50
2009-03,39
2009-04,40
2009-05,40
2009-06,37
2009-07,38
2009-08,37
2009-09,37
2009-10,42
2009-11,51
2009-12,70
2010-01,44
2010-02,51
2010-03,42
2010-04,42
2010-05,42
2010-06,37
2010-07,36
2010-08,36
2010-09,38
2010-10,41
2010-11,50
2010-12,68
2011-01,46
2011-02,57
2011-03,43
2011-04,44
2011-05,42
2011-06,38
2011-07,41
2011-08,41
2011-09,42
2011-10,46
2011-11,56
2011-12,81
2012-01,49
2012-02,61
2012-03,45
2012-04,46
2012-05,45
2012-06,43
2012-07,43
2012-08,42
2012-09,46
2012-10,49
2012-11,56
2012-12,81
2013-01,50
2013-02,64
2013-03,49
2013-04,43
2013-05,46
2013-06,43
2013-07,43
2013-08,45
2013-09,42
2013-10,47
2013-11,60
2013-12,78
2014-01,55
2014-02,64
2014-03,47
2014-04,49
2014-05,46
2014-06,42
2014-07,44
2014-08,42
2014-09,41
2014-10,49
2014-11,60
2014-12,76
2015-01,52
2015-02,64
2015-03,48
2015-04,43
2015-05,44
2015-06,42
2015-07,42
2015-08,40
2015-09,43
2015-10,48
2015-11,58
2015-12,82
2016-01,58
2016-02,59
2016-03,51
2016-04,47
2016-05,48
2016-06,45
2016-07,44
2016-08,39
2016-09,45
2016-10,49
2016-11,54
2016-12,83
2017-01,54
2017-02,63
2017-03,53
2017-04,51
2017-05,47
2017-06,43
2017-07,46
2017-08,44
2017-09,44
2017-10,51
2017-11,61
2017-12,85
2018-01,57
2018-02,62
2018-03,51
2018-04,47
2018-05,47
2018-06,44
2018-07,43
2018-08,44
2018-09,48
2018-10,49
2018-11,63
2018-12,86
2019-01,55
2019-02,66
2019-03,51
2019-04,49
2019-05,45
2019-06,46
2019-07,45
2019-08,43
2019-09,43
2019-10,49
2019-11,61
2019-12,78
2020-01,56
2020-02,64
2020-03,53
2020-04,69
2020-05,64
2020-06,52
2020-07,50
2020-08,47
2020-09,48
2020-10,56
2020-11,65
2020-12,100
2021-01,61
2021-02,71
2021-03,53
2021-04,51
2021-05,48
2021-06,42
2021-07,45
2021-08,44
2021-09,44
2021-10,51
2021-11,63
2021-12,86
2022-01,65
2022-02,69
2022-03,53
2022-04,56
2022-05,52
2022-06,48
2022-07,49
2022-08,49
2022-09,49
2022-10,57
2022-11,71
2022-12,93
2023-01,63
2023-02,70
2023-03,63
2023-04,54
2023-05,51
2023-06,51
2023-07,51
2023-08,49
2023-09,50
2023-10,55
2023-11,71
2023-12,94
2024-01,64
2024-02,66
2024-03,58
2024-04,52
2024-05,55
2024-06,52
